timestamp,x,y,z
1525807157524126,32.625,-37.125,-10.875
1525807157556139,26.375,-42.5625,-23.625
1525807157571140,28.375,-42.6875,-25.5625
1525807157592126,25.3125,-53.375,-25.9375
1525807157606167,10.625,-64.25,-33.5625
1525807157630135,2.9375,-73.25,-34.25
1525807157645141,11.4375,-78.125,-32.625
1525807157668191,18.375,-79.8125,-32.4375
1525807157722158,16.25,-79,-32.375
1525807157724156,20.6875,-72.625,-33.3125
1525807157728139,22.875,-70.375,-39.5
1525807157750138,21.5625,-71.1875,-42.4375
1525807157765155,24.125,-66.6875,-50.25
1525807157788157,34.4375,-59.8125,-60.125
1525807157803156,50.8125,-51.75,-66.25
1525807157846191,73.25,-49.0625,-68.625
1525807157856156,82.5625,-39.9375,-64.5
1525807157863157,81.5,-34.8125,-59.4375
1525807157885135,84.375,-25.25,-49.375
1525807157907159,80.3125,-18.1875,-40.5625
1525807157930148,64.6875,-12.875,-36
1525807157945146,39.25,-12.75,-34.3125
1525807157968142,17.5625,-9.6875,-32.1875
1525807157991129,11.0625,-2.125,-23.1875
1525807158005136,16.625,3.625,-15.3125
1525807158036129,13.4375,6.1875,-10.625
1525807158051157,3.75,6.25,-9.0625
1525807158065141,-1.75,8.125,-9.625
1525807158089159,-2.375,9.6875,-9.25
1525807158111140,-1.6875,10.625,-9.1875
1525807158125124,-2.1875,10.125,-9.8125
1525807158149125,1.875,9.375,-9.375
1525807158178219,4.8125,6,-6.9375
1525807158185192,-0.4375,-4.3125,-8.1875
1525807158208214,-8.625,-4.0625,-15.4375
1525807158231214,1.9375,11.8125,-18.6875
1525807158252204,24,14.125,-9.5625
1525807158268205,13.9375,9.625,-10.3125
1525807158291223,2.75,3.8125,-10
1525807158312221,-4.875,1.1875,-12
1525807158328202,6,5.6875,-13.125
1525807158351224,23.25,12.5625,-7.5
1525807158373189,21.9375,18,-3.6875
1525807158388240,7.125,13.6875,-5.8125
1525807158411196,3.4375,8.625,-10.1875
1525807158432223,-7.0625,1.875,-5.8125
1525807158455195,-12.75,-0.9375,1.375
1525807158471201,-5.75,-3.5,19.125
1525807158493201,3.4375,-7.9375,11.5
1525807158508195,6.6875,-13.875,20.0625
1525807158537207,-32.625,-20.375,16.375
1525807158552256,-38.5625,-19.25,-4.4375
1525807158569195,9.5625,-6.5,2.0625
1525807158591222,35.125,5,11.9375
1525807158612258,24.8125,2.5,8.75
1525807158628218,7.9375,0,6
1525807158651224,-5.9375,0.3125,1.0625
1525807158672258,-5.8125,3.75,-1.9375
1525807158688189,15.5,5.875,0.4375
1525807158711203,13.5625,2.0625,0.8125
1525807158732195,-16.125,-4.75,0
1525807158748190,-21.125,-3.6875,18.8125
1525807158771195,-2,-7.6875,21.3125
1525807158792197,4.375,-5.625,8.125
1525807158808224,6.0625,-9.5625,5.375
1525807158837312,-11.5625,-6.5625,2.75
1525807158853251,-5.1875,-0.8125,3.0625
1525807158876285,3.1875,-0.5625,1.5625
1525807158890245,8.9375,3.6875,-0.125
1525807158913277,17.5625,6.1875,-3.8125
1525807158936245,12.9375,4.1875,-7
1525807158950276,-18.4375,4.875,-2
1525807158973254,-17.125,-1.0625,22.5
1525807158996248,6.875,-0.875,16.125
1525807159017277,5.3125,-2.75,16.9375
1525807159033307,-45.125,-13.1875,1.6875
1525807159056310,-39.125,-15.0625,-12.5
1525807159077306,18.4375,1.1875,7.875
1525807159093306,23.875,7.3125,8.1875
1525807159116346,16.5,2.8125,-1.3125
1525807159137338,7.1875,5.125,-2.9375
1525807159153306,1.9375,9.625,-7.875
1525807159176322,14.0625,11,-11.5
1525807159204338,1,3.9375,-10.5
1525807159213442,-23.1875,7.5,0.1875
1525807159236416,-21.6875,-2.625,21.75
1525807159257493,-0.8125,-2.3125,7.3125
1525807159273438,-3.125,-3.625,1.0625
1525807159280427,-23.25,-8.875,-12.5
1525807159301441,-3.3125,-1.9375,-3.1875
1525807159324426,8.25,4.1875,2.125
1525807159340438,12.875,4.1875,-5.9375
1525807159369469,20.875,5.0625,-8.5625
1525807159384438,6,7.75,-10.1875
1525807159400449,9.5625,10.75,-11.8125
1525807159421459,20.8125,8.75,-12.9375
1525807159444468,-12,1.4375,-12.4375
1525807159460438,-39.6875,0.625,11.5625
1525807159481442,-14.4375,-3.4375,15.5625
1525807159504438,13.125,-3.1875,2.5
1525807159520436,-0.3125,-6,-2.0625
1525807159541443,-25.5,-6.875,-6.375
1525807159564439,-7,0.5,4.25
1525807159580438,10.75,3.25,-0.1875
1525807159601460,23.4375,3.625,-2
1525807159624470,8,4.3125,-6.375
1525807159640461,-4.5,8.5625,-8.125
1525807159661459,21.125,10.1875,-7.25
1525807159684427,18.6875,4.375,-8.0625
1525807159699468,-16.1875,6.1875,-2.875
1525807159721535,-27.5,-2.5,21.3125
1525807159743530,3.75,-3.625,11.5625
1525807159762500,13.4375,-5.75,10.875
1525807159781513,-44.3125,-12.0625,-4.25
1525807159804499,-45.375,-10.5,-13.0625
1525807159821496,9.8125,4.4375,3.4375
1525807159844497,29.375,10.0625,4.625
1525807159863528,26.6875,5.8125,-2.5625
1525807159881496,7.0625,4.5625,-4.25
1525807159901512,4.5,7.1875,-9.625
1525807159923581,16.0625,7.6875,-8.5
1525807159941554,-4.6875,-1.5,-6.625
1525807159961549,-20.9375,-0.625,10.75
1525807159983566,-7.6875,-7.9375,20.3125
1525807160001550,0.4375,-8.375,5.1875
1525807160021578,-16.1875,-10.0625,-1.4375
1525807160043565,-29.1875,-6.6875,-0.6875
1525807160061549,-8.625,-0.25,5.875
1525807160084565,16.875,1.625,2.4375
1525807160103617,25.3125,2.25,-2.1875
1525807160121558,4,1.875,-6.875
1525807160141564,-0.4375,6.625,-7.3125
1525807160163563,15.5625,6.6875,-4.75
1525807160181550,-1.875,-1.3125,-3.125
1525807160201581,-19,2.5625,11.75
1525807160223586,-20,-8.4375,26.4375
1525807160241559,-7.0625,-9.8125,5
1525807160261663,-4.25,-10.9375,-0.3125
1525807160283644,-14.5,-7.25,-0.6875
1525807160301627,-4,-0.5625,6.75
1525807160321695,11.125,1.4375,0.625
1525807160339659,17.5,2.625,-1.875
1525807160361668,-2.3125,3.4375,-8.25
1525807160381701,-5.4375,6.9375,-8.9375
1525807160403685,23.4375,10.375,-7.0625
1525807160421679,14.6875,7.4375,-6.625
1525807160441735,-19.625,6.375,4.6875
1525807160463735,-38.8125,-7.125,23.3125
1525807160481668,-11,-10.5,6.5625
1525807160501683,12.625,-6.8125,-1.3125
1525807160523735,-0.9375,-5.875,-0.5
1525807160541670,-0.1875,-1.125,3
1525807160561701,10.875,1.375,-1.875
1525807160579684,14.375,3.375,-4.75
1525807160601689,0.3125,6.0625,-9.9375
1525807160621700,11.1875,9.9375,-9.9375
1525807160643701,17.25,10.125,-9.625
1525807160661674,-5.375,0.6875,-7.375
1525807160681700,-20.6875,2.625,6.0625
1525807160699710,-12.0625,-9.0625,19.9375
1525807160726734,-5.9375,-8.75,-0.9375
1525807160741700,0.5625,-7.0625,-7.375
1525807160763683,-2.875,-3,-1.625
1525807160781680,-4.125,2,1.4375
1525807160801785,8.75,4.5,-1.5
1525807160819753,6.25,7,-2.9375
1525807160841722,-4.5625,9.4375,-7.8125
1525807160861791,17.625,11.4375,-6.6875
1525807160883793,10.3125,6.4375,-7.1875
1525807160901793,-20.625,6.9375,-0.5
1525807160922825,-26.9375,-9.3125,25.75
1525807160943892,-8.5,-11.0625,13.0625
1525807160961827,-10.375,-11.75,-0.3125
1525807160982824,-22.0625,-12.9375,-5.375
1525807161003872,-1.375,-4.375,5.1875
1525807161021824,15.375,1.1875,9.4375
1525807161042865,14.1875,1.0625,1.4375
1525807161059880,4.625,1.6875,-2.125
1525807161081865,7.375,5.5625,-4.75
1525807161101880,18.25,6.6875,-6
1525807161124898,-7.25,-1.3125,-6.0625
1525807161140865,-20.1875,-0.875,12.375
1525807161161866,-5.5,-7.1875,17.6875
1525807161185883,3.6875,-5.625,-5.3125
1525807161200869,3,-5.625,-6.8125
1525807161221864,-4.75,-2.6875,-3.1875
1525807161238881,-2.0625,1.375,-2.125
1525807161260866,11.1875,4.1875,-4.4375
1525807161281897,21.375,7.5,-5.375
1525807161297866,20.75,6.75,-6.5
1525807161320868,-9.125,1.25,-8.0625
1525807161343897,-21.375,-2.1875,11.375
1525807161357874,-10,-5.5,15.75
1525807161380868,3.875,-5.8125,-0.75
1525807161403880,0.5,-6.6875,-2.875
1525807161424914,-6.125,-2.5625,-1.5625
