timestamp,emg1,emg2,emg3,emg4,emg5,emg6,emg7,emg8
1525807157725146,0,1,5,-13,-7,-4,-11,5
1525807157725146,-1,-5,-16,7,6,-1,6,-2
1525807157729131,-3,1,8,2,3,15,-6,-5
1525807157729131,0,-2,6,9,7,12,12,5
1525807157730135,1,3,1,-3,-17,-17,-1,-4
1525807157730135,-4,-7,-3,15,11,17,-1,1
1525807157731124,0,-3,-13,-27,-16,2,12,8
1525807157731124,-8,1,3,0,13,6,-26,-23
1525807157735125,-15,-6,3,25,4,0,2,-4
1525807157735125,6,3,7,-17,1,11,11,1
1525807157750138,-23,-8,-9,6,-3,-8,9,-5
1525807157750138,43,7,7,-21,-14,2,0,27
1525807157758192,21,2,-14,26,6,-12,-14,0
1525807157758192,-8,-1,-1,-10,3,-28,-32,-18
1525807157766147,-2,-1,1,9,10,11,-4,-4
1525807157766147,-13,3,22,1,-17,3,6,0
1525807157773153,-14,-14,-40,-35,16,17,12,3
1525807157773153,8,9,6,7,-10,-19,-5,6
1525807157795137,24,8,15,18,-17,-39,19,22
1525807157795137,-58,-30,-30,-9,61,23,-42,-42
1525807157795137,6,4,9,-12,-35,1,6,-21
1525807157795137,6,9,14,9,-10,10,17,11
1525807157818125,11,3,-8,-32,6,-6,1,10
1525807157818125,10,0,-3,-11,-24,-33,25,17
1525807157819126,-2,-5,-3,15,34,34,-24,-8
1525807157819126,-10,-11,-19,7,1,-9,4,-2
1525807157857135,2,4,8,1,-16,-6,4,-10
1525807157857135,2,4,0,8,7,12,-14,4
1525807157858124,0,1,0,-4,9,8,8,1
1525807157858124,-7,-8,-1,3,15,38,6,1
1525807157859156,11,10,21,38,-3,2,9,15
1525807157859156,-31,-20,-24,-13,8,3,-28,-36
1525807157862156,-1,-2,-5,20,6,-10,-31,-23
1525807157862156,1,6,4,-3,-9,-36,17,14
1525807157869192,12,8,16,8,1,-9,8,17
1525807157869192,2,0,7,-1,-6,4,3,0
1525807157876159,-2,-1,-4,-8,-1,1,3,11
1525807157876159,-4,-2,1,2,-7,-10,-1,-14
1525807157885135,-4,-5,-15,-12,1,6,2,-1
1525807157885135,5,3,1,-23,-7,-29,-5,9
1525807157899157,-2,-4,-6,-8,-8,20,8,-1
1525807157899157,3,5,15,14,1,0,-7,0
1525807157908157,-8,-12,-29,-28,11,-2,16,2
1525807157908157,4,3,0,-11,-1,13,-21,-3
1525807157921162,-5,-2,6,6,-2,-4,-5,-1
1525807157921162,10,4,9,2,-13,-5,18,9
1525807157930148,-7,-6,-2,0,6,10,-12,-12
1525807157930148,3,2,2,6,-4,-2,25,4
1525807157945146,9,7,8,4,-7,-15,4,12
1525807157945146,-8,-3,-13,-9,9,-1,-28,-20
1525807157951190,-4,1,4,4,5,13,1,-3
1525807157951190,7,0,-1,-4,-9,-11,16,8
1525807157968142,-1,-1,-3,-14,-4,-45,0,3
1525807157968142,3,0,-8,19,18,22,11,7
1525807157969126,-3,-5,-9,-2,6,1,-7,-2
1525807157969126,1,4,19,27,-4,-2,2,4
1525807157990192,0,1,3,4,-4,9,6,-1
1525807157990192,-4,-2,-3,-7,0,1,-5,-7
1525807157992132,1,1,3,-10,-8,1,2,3
1525807157992132,-2,-1,2,15,5,-8,-10,1
1525807158005136,-3,-1,1,2,-5,-12,1,-7
1525807158005136,0,-3,-6,-11,4,23,0,-1
1525807158011158,0,1,8,11,-6,-3,-7,-2
1525807158011158,1,-2,-4,11,-3,0,3,2
1525807158035192,-2,2,-3,-20,7,5,11,-5
1525807158035192,3,-2,0,4,-11,-12,-6,2
1525807158037132,1,0,-3,-8,-1,-1,-11,-7
1525807158037132,-8,-4,-5,-19,-10,4,30,5
1525807158050157,11,2,3,19,8,0,-12,3
1525807158050157,-3,-1,6,-6,-15,-14,-8,-3
1525807158052145,-4,-8,-15,17,17,-6,1,-2
1525807158052145,1,1,-9,-34,-5,5,-6,-6
1525807158065141,-2,-1,0,-2,-5,20,22,15
1525807158065141,2,0,-2,-4,0,2,-6,-3
1525807158071157,1,2,2,-3,-8,-22,-4,4
1525807158071157,-3,-3,2,12,4,1,-5,-3
1525807158088192,1,-1,1,8,4,8,13,-1
1525807158088192,-2,-2,-6,-25,-2,-4,-5,-1
1525807158089159,3,3,4,-3,-4,0,-12,-1
1525807158089159,6,1,-3,12,10,10,3,1
1525807158110127,-3,-3,-3,-7,-6,0,-4,-2
1525807158110127,-1,3,2,8,2,-3,6,5
1525807158112147,-16,-5,0,-7,-3,3,-8,-7
1525807158112147,11,-4,-6,-8,-8,-11,6,-1
1525807158124139,1,-2,-4,-3,-11,-1,-7,1
1525807158124139,9,8,7,6,14,4,-4,2
1525807158131125,1,-4,-4,-2,-1,-3,-10,-3
1525807158131125,-7,2,1,6,4,2,2,-1
1525807158148158,-8,-13,-11,-22,-30,-5,-9,-5
1525807158148158,6,3,-1,10,15,-1,1,2
1525807158150142,-11,4,6,-3,-11,-5,4,-10
1525807158150142,7,-8,0,5,16,3,5,6
1525807158178219,-14,0,4,3,5,-4,-13,-5
1525807158178219,-19,-13,-19,-27,-36,-13,-8,-13
1525807158179193,28,11,-6,-8,-33,-3,3,14
1525807158179193,6,9,17,20,51,9,-2,2
1525807158184222,-19,-18,-8,-8,-6,-8,-16,-14
1525807158184222,-6,5,11,16,10,3,4,3
1525807158191224,2,-1,5,4,25,8,2,-2
1525807158191224,7,6,-9,-15,-33,1,3,7
1525807158208214,8,7,10,24,15,-1,-3,1
1525807158208214,-5,-6,-7,-13,-20,2,9,1
1525807158209216,-17,-9,-15,-37,-1,0,-13,-12
1525807158209216,14,4,8,4,-12,-3,4,15
1525807158230259,8,10,5,14,37,23,11,2
1525807158230259,0,-2,0,0,-23,-8,-5,-2
1525807158232225,0,-4,1,8,-6,3,8,0
1525807158232225,-12,-4,-4,-14,-3,10,-11,-9
1525807158244260,-2,0,0,3,1,-7,0,-1
1525807158244260,9,1,1,5,8,-6,-2,4
1525807158253230,-5,-4,2,5,14,11,8,0
1525807158253230,-11,-5,-5,0,-4,-13,-4,-8
1525807158268205,10,7,-1,-9,-24,-3,1,0
1525807158268205,-3,-7,-3,4,7,5,-10,7
1525807158269194,7,8,4,11,12,7,21,8
1525807158269194,-3,-7,-4,-10,-35,-6,-8,0
1525807158290222,-8,-6,-2,10,28,4,0,-7
1525807158290222,-11,-3,0,1,7,-4,-3,-9
1525807158292223,15,1,6,1,-13,-6,-7,4
1525807158292223,4,4,-2,4,1,9,7,-1
1525807158304258,1,5,1,-5,-5,-20,0,4
1525807158304258,-5,2,9,-4,-3,-1,0,-4
1525807158313223,-4,-5,-4,7,7,5,3,1
1525807158313223,-6,-2,4,6,7,0,-1,-8
1525807158328202,-6,-3,-3,4,3,5,-4,-3
1525807158328202,5,-1,2,-6,-15,-20,-10,-2
1525807158329190,-5,-3,6,26,-15,-15,-8,-1
1525807158329190,0,4,-6,7,27,-4,7,2
1525807158350222,6,-4,-3,-49,-45,26,3,3
1525807158350222,-4,-13,-22,-4,18,-1,-5,-3
1525807158352223,22,22,12,5,27,22,10,11
1525807158352223,-51,-15,-7,-18,-10,-5,-16,-33
1525807158373189,3,-4,8,36,14,9,-5,-1
1525807158373189,22,17,14,-9,8,0,12,14
1525807158374193,-3,-8,-9,2,-5,12,-13,-7
1525807158374193,23,20,10,-19,0,-17,33,29
1525807158388240,16,8,-1,-7,3,50,-3,12
1525807158388240,-10,-14,-12,3,2,-4,7,-10
1525807158389194,-21,-8,-4,12,4,-5,-6,-9
1525807158389194,12,-4,1,-17,-24,-9,-13,4
1525807158410219,-10,-12,-24,13,12,-24,-7,-5
1525807158410219,4,3,-2,-12,-1,5,-4,5
1525807158412197,-9,-2,0,-13,-17,-7,4,-3
1525807158412197,1,-5,-13,-10,2,13,-5,-4
1525807158424222,1,3,10,-18,-15,-25,-2,-3
1525807158424222,2,5,-9,25,19,14,3,-1
1525807158433191,-8,-3,0,-6,-3,-21,-5,-4
1525807158433191,-13,-6,0,8,1,3,-3,-6
1525807158447255,11,2,3,-9,-8,-11,-2,2
1525807158447255,4,3,0,1,-5,5,6,2
1525807158455195,-2,-7,-2,-12,-10,-17,-5,-2
1525807158455195,0,-1,-1,17,12,3,-6,1
1525807158470257,1,3,2,-1,3,9,6,2
1525807158470257,-15,-8,0,0,-13,-15,-6,-8
1525807158472231,10,3,1,5,24,6,2,1
1525807158472231,-5,-8,-8,-18,-19,-3,-6,-5
1525807158484223,12,7,16,38,44,13,6,-2
1525807158484223,16,2,-3,-3,-17,-21,-12,-1
1525807158493201,16,15,1,-8,4,14,13,13
1525807158493201,-18,-8,5,10,10,1,-8,-11
1525807158508195,-14,-6,-5,-14,-18,-6,3,6
1525807158508195,3,-4,0,-4,-1,6,-3,-7
1525807158509192,-27,-9,0,14,7,-3,-10,-15
1525807158509192,40,11,-1,4,-9,-9,8,29
1525807158529193,-5,1,-8,-8,-7,-4,0,0
1525807158529193,-7,3,6,3,8,10,4,5
1525807158538208,-8,-7,-14,-26,-18,0,-2,-4
1525807158538208,-7,0,1,4,-1,3,-3,-9
1525807158544192,-6,-6,1,3,-7,-7,-3,-4
1525807158544192,7,9,7,17,26,9,9,6
1525807158553230,3,-1,-4,-21,-1,2,2,-2
1525807158553230,-1,-3,2,1,6,-2,-5,-4
1525807158568256,-2,-3,-4,-3,-11,-7,1,-4
1525807158568256,-3,-4,4,-6,-18,-4,-6,-5
1525807158569195,4,2,4,17,14,-3,-2,0
1525807158569195,1,3,0,4,4,0,1,0
1525807158590222,-3,0,-1,2,0,3,0,-1
1525807158590222,-5,-3,-1,-9,-7,1,5,-2
1525807158592190,-5,-5,6,2,-6,-21,-10,-2
1525807158592190,16,9,3,4,-1,2,4,9
1525807158604255,-4,-6,-10,-11,0,-3,-2,-4
1525807158604255,-6,-3,4,9,1,-12,-2,2
1525807158613203,-1,-5,-4,16,4,-16,-10,-4
1525807158613203,16,0,-6,-17,-13,-35,10,10
1525807158628218,-22,1,5,14,7,13,-1,-14
1525807158628218,5,-1,1,-27,-25,-23,-6,2
1525807158629202,-3,2,-2,-1,9,21,3,-3
1525807158629202,-39,-25,-15,20,9,7,-20,-33
1525807158650223,8,21,17,-6,-13,-19,-3,8
1525807158650223,14,-4,-14,-36,0,24,13,1
1525807158652192,-22,-12,-11,24,2,8,-4,-7
1525807158652192,23,17,15,3,1,-3,7,16
1525807158664258,5,-4,-14,-11,40,10,2,0
1525807158664258,-13,-5,-2,15,4,9,-6,-13
1525807158673233,9,0,5,-11,-17,-14,4,9
1525807158673233,-14,-6,-1,5,7,19,2,-4
1525807158688189,1,-3,3,16,-2,6,-1,0
1525807158688189,10,7,2,2,4,-5,3,8
1525807158689220,2,-3,-1,-13,-7,-6,2,2
1525807158689220,-12,-4,-1,0,-3,2,-3,-5
1525807158710204,3,1,-3,-3,-4,-2,4,3
1525807158710204,-1,-2,-5,3,-1,3,-2,-2
