timestamp,x,y,z,w
1525807143303790,-0.055481,0.188354,-0.159241,-0.967529
1525807143326785,-0.0556641,0.188293,-0.159119,-0.96759
1525807143341824,-0.0558472,0.188293,-0.158997,-0.96759
1525807143365795,-0.0560303,0.188232,-0.158997,-0.96759
1525807143386813,-0.0560303,0.188293,-0.158997,-0.96759
1525807143401864,-0.0560303,0.188293,-0.158997,-0.96759
1525807143425885,-0.0558472,0.188293,-0.158875,-0.96759
1525807143456867,-0.0557861,0.188232,-0.15863,-0.967651
1525807143461867,-0.0559692,0.187988,-0.158447,-0.967712
1525807143477862,-0.0563965,0.1875,-0.158264,-0.967834
1525807143495858,-0.0565796,0.187073,-0.157959,-0.967957
1525807143515866,-0.0566406,0.186646,-0.157654,-0.968079
1525807143540918,-0.0566406,0.186218,-0.157349,-0.968201
1525807143591884,-0.0567017,0.185852,-0.157104,-0.968323
1525807143592884,-0.0569458,0.185486,-0.156921,-0.968384
1525807143599856,-0.0571899,0.185242,-0.156799,-0.968445
1525807143612852,-0.057251,0.185181,-0.156799,-0.968445
1525807143635916,-0.057312,0.184937,-0.156616,-0.968506
1525807143666014,-0.057373,0.184753,-0.156555,-0.968567
1525807143687004,-0.0574341,0.184753,-0.156555,-0.968567
1525807143704006,-0.0570068,0.18512,-0.156311,-0.968567
1525807143725972,-0.0556641,0.185852,-0.15564,-0.968628
1525807143749005,-0.0540771,0.186279,-0.15509,-0.968689
1525807143770972,-0.0545044,0.186218,-0.154846,-0.96875
1525807143785972,-0.055603,0.18573,-0.155029,-0.96875
1525807143807006,-0.055542,0.185547,-0.155212,-0.96875
1525807143824064,-0.055481,0.185547,-0.155212,-0.96875
1525807143846109,-0.055603,0.185974,-0.155029,-0.968689
1525807143867173,-0.0550537,0.18634,-0.154846,-0.968689
1525807143884132,-0.0549316,0.186523,-0.154907,-0.968628
1525807143906108,-0.0549316,0.186523,-0.154907,-0.968628
1525807143927125,-0.0554199,0.18634,-0.155273,-0.968567
1525807143944144,-0.0559082,0.185974,-0.155701,-0.968567
1525807143966130,-0.0559692,0.185791,-0.156189,-0.968506
1525807143987208,-0.0559082,0.185486,-0.156738,-0.968506
1525807144003304,-0.055542,0.185181,-0.157715,-0.968384
1525807144026271,-0.0549316,0.184326,-0.158936,-0.968384
1525807144047249,-0.055481,0.183228,-0.159302,-0.968506
1525807144071300,-0.0560913,0.182129,-0.159119,-0.96875
1525807144076323,-0.0569458,0.182007,-0.158997,-0.968689
1525807144091290,-0.055481,0.182556,-0.158752,-0.96875
1525807144114399,-0.0543213,0.182922,-0.158752,-0.96875
1525807144136363,-0.0551758,0.182495,-0.159058,-0.96875
1525807144151486,-0.0558472,0.182312,-0.159058,-0.968689
1525807144174421,-0.0546875,0.182556,-0.15863,-0.968811
1525807144196489,-0.0542603,0.182922,-0.158264,-0.968811
1525807144211452,-0.0540161,0.183472,-0.158264,-0.96875
1525807144234422,-0.053772,0.184021,-0.158325,-0.968628
1525807144256453,-0.0543823,0.184265,-0.158691,-0.968506
1525807144271526,-0.0549927,0.184448,-0.159058,-0.968384
1525807144293601,-0.0549316,0.184875,-0.159241,-0.968262
1525807144316630,-0.0548706,0.185181,-0.159424,-0.96814
1525807144331574,-0.0548096,0.185242,-0.160034,-0.968079
1525807144354568,-0.0554199,0.18512,-0.160583,-0.967957
1525807144385595,-0.0558472,0.184692,-0.161072,-0.967957
1525807144391678,-0.0556641,0.18396,-0.161743,-0.967957
1525807144414638,-0.0549316,0.18335,-0.161438,-0.968201
1525807144436669,-0.0557251,0.182922,-0.161194,-0.968262
1525807144451668,-0.055481,0.183289,-0.161316,-0.968201
1525807144473702,-0.0541992,0.184143,-0.160889,-0.96814
1525807144496702,-0.0535278,0.184448,-0.160645,-0.968201
1525807144511657,-0.0525513,0.184631,-0.1604,-0.968262
1525807144533642,-0.0530396,0.184448,-0.160156,-0.968262
1525807144556669,-0.0541382,0.184387,-0.160217,-0.968201
1525807144572702,-0.0541992,0.184387,-0.160217,-0.968201
1525807144593668,-0.053833,0.184448,-0.160156,-0.968262
1525807144616703,-0.0534058,0.184814,-0.160278,-0.968201
1525807144632650,-0.0534058,0.18512,-0.160522,-0.968079
1525807144653650,-0.0537109,0.185364,-0.160706,-0.967957
1525807144676670,-0.0541382,0.185486,-0.161377,-0.967834
1525807144694733,-0.0548706,0.185425,-0.162109,-0.967651
1525807144713775,-0.0553589,0.184998,-0.163086,-0.96759
1525807144736724,-0.055603,0.184692,-0.163635,-0.967529
1525807144754750,-0.0549927,0.184631,-0.163269,-0.967651
1525807144776724,-0.0544434,0.185181,-0.163025,-0.96759
1525807144796827,-0.0527954,0.186096,-0.162659,-0.96759
1525807144814761,-0.0510254,0.186707,-0.162476,-0.96759
1525807144833764,-0.0518799,0.186401,-0.162415,-0.96759
1525807144856774,-0.0543213,0.185669,-0.16272,-0.967529
1525807144874777,-0.0552979,0.185242,-0.162903,-0.967529
1525807144893829,-0.0548096,0.185242,-0.16272,-0.96759
1525807144916779,-0.0535889,0.185547,-0.162781,-0.96759
1525807144934761,-0.0529785,0.185974,-0.163086,-0.967529
1525807144953762,-0.0529175,0.185852,-0.163574,-0.967468
1525807144983793,-0.0527954,0.185547,-0.164124,-0.967407
1525807144994789,-0.0527954,0.184509,-0.164673,-0.967529
1525807145013776,-0.0527954,0.182983,-0.165283,-0.967712
1525807145036830,-0.0517578,0.181763,-0.164795,-0.968079
1525807145054794,-0.0491333,0.18042,-0.163208,-0.96875
1525807145073762,-0.0458374,0.179504,-0.161865,-0.969299
1525807145096793,-0.0419312,0.178894,-0.160522,-0.969788
1525807145114762,-0.0401001,0.177917,-0.159607,-0.970215
1525807145135793,-0.0418701,0.176575,-0.159729,-0.970337
1525807145156850,-0.0440674,0.17572,-0.160645,-0.970276
1525807145174830,-0.045105,0.175598,-0.161621,-0.970093
1525807145193846,-0.045166,0.175964,-0.162903,-0.969788
1525807145217852,-0.0447388,0.176758,-0.164368,-0.969421
1525807145234826,-0.0440063,0.177979,-0.165833,-0.968994
1525807145255814,-0.0437012,0.179077,-0.167603,-0.968506
1525807145276938,-0.0444336,0.179749,-0.169678,-0.968018
1525807145294910,-0.045105,0.17981,-0.171448,-0.967651
1525807145315903,-0.0464478,0.17981,-0.172668,-0.967346
1525807145336888,-0.0463867,0.180054,-0.172791,-0.967285
1525807145354932,-0.0460815,0.180969,-0.173096,-0.967102
1525807145375937,-0.0445557,0.182373,-0.172852,-0.966919
1525807145396904,-0.0424194,0.183655,-0.172974,-0.966736
1525807145414900,-0.043396,0.183777,-0.173645,-0.966553
1525807145435903,-0.0458374,0.183228,-0.174683,-0.96637
1525807145456888,-0.0467529,0.18335,-0.175659,-0.966125
1525807145474911,-0.0461426,0.183838,-0.176208,-0.965942
1525807145495903,-0.045105,0.184143,-0.177063,-0.96582
1525807145516941,-0.0447998,0.184448,-0.17804,-0.965576
1525807145534901,-0.0454712,0.184326,-0.179321,-0.965332
1525807145555959,-0.0462036,0.184448,-0.180725,-0.965027
