timestamp,emg1,emg2,emg3,emg4,emg5,emg6,emg7,emg8
1525807143471853,0,-1,-2,-7,-3,1,13,2
1525807143471853,-1,-1,0,-5,-7,-1,-9,-5
1525807143471853,-1,-1,0,-4,-6,1,-5,-3
1525807143471853,1,0,4,10,8,7,-2,0
1525807143472857,-2,-2,-6,-16,-11,-5,-3,-1
1525807143472857,0,-1,-3,2,2,-2,3,0
1525807143473851,-2,-2,-3,-6,2,3,4,-1
1525807143473851,1,1,4,3,-3,-12,-6,-2
1525807143476852,-2,-1,3,11,0,7,-2,-1
1525807143476852,0,-1,-1,-14,-2,2,2,0
1525807143483852,-1,-1,-1,-1,-7,-4,4,2
1525807143483852,-1,-1,-3,7,8,-5,2,-3
1525807143494891,1,0,3,8,4,-7,-1,-3
1525807143494891,0,-2,0,2,-4,-8,-4,0
1525807143507885,-3,-1,-3,1,6,4,-10,-6
1525807143507885,-1,0,-2,-15,-7,2,3,2
1525807143514853,-2,-1,2,0,-2,-2,-4,-3
1525807143514853,-1,-1,2,16,0,5,-2,1
1525807143528884,3,2,1,-7,2,5,-3,1
1525807143528884,-2,0,3,5,-3,-11,0,-1
1525807143538918,-2,-1,-4,-4,3,11,-5,-1
1525807143538918,0,0,0,2,-2,-2,11,2
1525807143553885,-2,1,1,3,-4,-15,-5,-5
1525807143553885,-1,-2,-1,4,-2,5,-10,1
1525807143592884,-1,-1,-2,-12,-6,3,-1,-1
1525807143592884,0,1,0,8,6,-1,1,-1
1525807143593863,0,-1,1,3,-4,-5,1,-1
1525807143593863,1,0,4,4,-5,-5,-6,1
1525807143597884,-2,-2,-7,-9,-2,8,-2,-1
1525807143597884,0,-1,-4,-5,-3,5,1,0
1525807143598856,0,0,0,-1,1,-11,1,0
1525807143598856,-2,0,1,0,-3,-8,-1,-1
1525807143603885,0,3,4,8,3,-10,3,2
1525807143603885,2,1,0,-2,-2,2,-6,-1
1525807143611884,-1,-3,-7,-6,5,11,9,2
1525807143611884,-1,1,0,-7,-8,-2,0,0
1525807143618883,-1,-1,0,4,4,-14,-6,-2
1525807143618883,-2,-3,-2,-3,0,-5,-10,-6
1525807143634918,0,0,1,-3,-5,0,-4,0
1525807143634918,2,1,1,0,-5,-13,0,-1
1525807143641974,-1,-2,-4,1,1,0,0,-1
1525807143641974,0,0,1,-3,3,-6,-3,1
1525807143664990,1,-1,3,0,-9,6,-4,-2
1525807143664990,-2,-4,-9,-2,1,-1,-2,-1
1525807143666975,-1,2,4,6,3,0,2,0
1525807143666975,-3,-4,-4,-13,-6,8,4,1
1525807143680006,0,3,1,4,0,-25,-8,-1
1525807143680006,0,-2,0,2,2,5,6,1
1525807143687975,2,0,3,3,10,26,7,2
1525807143687975,-2,0,4,5,-5,-7,-3,-2
1525807143703003,-2,-5,-8,-10,-4,-6,-2,-3
1525807143703003,0,1,5,11,17,13,-6,3
1525807143704006,2,1,-2,-6,-4,-2,5,2
1525807143704006,-1,-3,0,7,-5,-10,-6,-2
1525807143725004,1,0,1,-2,-4,15,11,0
1525807143725004,-5,-5,-11,-15,-10,-4,-13,-9
1525807143726975,6,6,11,15,24,17,12,12
1525807143726975,-1,2,4,4,2,-2,6,1
1525807143748004,-2,0,2,1,-5,-1,-11,-5
1525807143748004,-2,-2,-9,-10,-17,-20,9,-4
1525807143749005,-6,-6,-10,-8,-16,-38,-20,-11
1525807143749005,4,4,7,7,17,77,20,5
1525807143770004,0,1,3,0,-1,6,10,4
1525807143770004,0,-1,-2,6,17,4,7,0
1525807143771975,-3,-3,-1,-15,-19,-24,-7,-5
1525807143771975,0,1,-4,-2,-4,-10,-6,0
1525807143785005,0,1,-1,8,13,-6,-11,-1
1525807143785005,0,1,2,-2,2,15,3,2
1525807143786982,-1,-2,3,5,-4,8,-1,-1
1525807143786982,-1,-2,-6,-10,-8,-19,2,0
1525807143799005,1,1,2,9,1,20,6,1
1525807143799005,-1,-1,-8,-17,-1,8,8,1
1525807143807982,-2,1,0,3,6,-10,-12,-2
1525807143807982,-1,1,1,4,-3,-15,-12,3
1525807143823096,-4,-4,-7,-5,-5,-16,0,-7
1525807143823096,1,4,9,4,2,1,-2,0
1525807143829093,-3,-1,1,15,11,12,7,-2
1525807143829093,-1,-3,-4,-10,1,6,-10,-3
1525807143845173,1,-3,-7,-13,-9,-13,0,1
1525807143845173,-1,-1,1,7,-5,5,-12,-3
1525807143847124,2,1,-3,-13,4,27,-9,-1
1525807143847124,-2,-4,-5,-2,-2,-24,-3,-3
1525807143859106,1,1,-1,-3,0,-5,-4,1
1525807143859106,-1,0,3,1,-4,12,10,0
1525807143868120,0,-2,-3,3,-3,3,0,0
1525807143868120,0,-2,-2,-4,-4,-10,3,-2
1525807143883139,-2,-2,-1,-7,1,10,2,-1
1525807143883139,-1,-1,-3,4,3,3,-1,1
1525807143884132,1,3,4,4,-6,-7,4,1
1525807143884132,-1,0,-1,-2,0,5,10,0
1525807143905177,1,0,3,-1,4,6,-22,-1
1525807143905177,-1,-2,-4,-5,-8,-13,13,0
1525807143907139,-1,-3,-2,-1,-3,3,-8,0
1525807143907139,1,0,-1,0,-4,-6,11,1
1525807143919120,-2,0,1,3,3,-8,-5,-2
1525807143919120,1,2,3,-7,1,5,3,3
1525807143928124,0,-1,1,21,1,1,-1,-1
1525807143928124,-5,-4,-4,-8,-4,-4,-6,-7
1525807143943138,3,1,-1,-4,0,9,7,9
1525807143943138,-1,-3,4,16,5,-3,-11,-4
1525807143944144,-2,-3,-3,-24,-13,-11,4,-3
1525807143944144,5,9,5,2,6,3,-5,1
1525807143965110,-9,-14,-12,28,10,-3,-5,-9
1525807143965110,0,1,-2,-10,-10,-5,-2,0
1525807143967119,8,10,5,3,7,2,5,7
1525807143967119,-5,-8,-5,-6,-14,-29,5,-2
1525807143979207,-3,-2,5,5,-3,-1,-2,-6
1525807143979207,1,1,-11,-13,7,8,-7,6
1525807143988208,-7,-9,-3,2,-11,-11,-10,-9
1525807143988208,6,8,-2,-11,5,3,0,3
1525807144003304,-3,-5,1,1,-2,6,-1,-1
1525807144003304,-3,-3,0,4,-4,-18,6,-4
1525807144004258,-2,-5,-7,-7,-3,13,-6,0
1525807144004258,0,-1,2,1,-4,-12,-2,2
1525807144025316,2,6,5,6,5,-6,2,-1
1525807144025316,0,0,-2,2,8,8,0,-1
1525807144027254,3,5,-1,-2,4,10,7,2
1525807144027254,-2,-3,2,9,-4,9,4,0
1525807144039281,-1,1,-2,-9,7,0,0,1
1525807144039281,2,0,4,2,-3,8,5,3
1525807144048251,-2,-2,-4,-6,-1,-11,-3,-7
1525807144048251,1,-2,-1,2,0,10,-7,0
1525807144070323,0,3,0,-8,-5,-2,3,0
1525807144070323,-1,2,1,3,-2,-12,-12,-2
1525807144072323,1,0,5,0,0,5,20,6
1525807144072323,-4,-2,-2,0,7,5,0,-5
1525807144084322,1,1,-5,-9,-4,9,-3,4
1525807144084322,-4,-3,0,5,-3,-6,-3,-6
1525807144085292,-1,-1,-3,-3,0,-1,1,0
1525807144085292,0,2,4,6,1,6,6,1
1525807144107323,0,-1,-1,1,-5,-3,20,2
1525807144107323,-1,-2,0,-4,0,-1,-25,-5
1525807144108322,-3,-2,-2,2,1,-3,-3,1
1525807144108322,1,0,-2,2,0,-2,0,1
1525807144122376,-1,-1,-1,-4,1,-1,-1,-4
1525807144122376,-2,2,-1,-3,-3,-8,6,1
1525807144123397,-1,2,1,-2,-2,-8,4,1
1525807144123397,-1,-2,-5,-6,4,8,-6,-1
1525807144144488,3,0,0,13,7,-4,2,2
1525807144144488,0,-3,1,3,0,37,6,-2
1525807144145455,1,2,6,-9,-7,0,-7,1
1525807144145455,-2,0,-4,10,7,-1,0,0
1525807144167431,-2,-2,-4,-9,-10,-5,0,-2
1525807144167431,-1,1,5,7,7,-7,-14,-3
1525807144168422,-2,-6,-16,-21,-1,16,-3,-2
1525807144168422,-1,-1,-2,-7,-8,-7,5,-2
1525807144182459,-2,-3,-1,-2,0,12,8,0
1525807144182459,0,1,-1,-1,-6,-12,0,2
1525807144183480,-2,-1,6,11,3,-14,1,-2
1525807144183480,-1,-2,-2,1,2,6,-3,-4
1525807144204432,0,-1,-3,-6,4,8,2,4
1525807144204432,0,-1,3,-7,-16,-8,14,1
1525807144205422,1,0,-7,-4,-3,-7,-14,-3
1525807144205422,1,1,5,12,14,12,6,3
1525807144227452,0,1,5,2,-4,-29,-1,-2
1525807144227452,1,-1,3,7,7,11,6,2
1525807144228445,0,-1,-4,-10,-7,-11,-3,0
1525807144228445,-2,-2,3,6,-6,-9,-3,-3
1525807144242448,0,0,-2,-15,-3,10,-4,0
1525807144242448,1,-1,-4,-3,7,-6,-5,2
1525807144243480,-3,-3,-3,13,5,5,7,-4
1525807144243480,1,-1,-2,-1,-3,0,-10,2
1525807144264508,0,0,0,-1,-3,3,0,-1
1525807144264508,0,1,3,-1,-7,-6,2,1
1525807144265501,0,1,0,9,10,0,-4,0
1525807144265501,-2,-2,3,-12,-14,-6,-6,-5
1525807144287524,0,-3,-7,13,6,3,-1,0
1525807144287524,-3,-2,0,1,2,5,0,-3
1525807144288501,-1,-3,-1,-10,-8,-7,6,1
1525807144288501,-4,-3,-2,-1,-6,-6,4,-1
1525807144302572,5,8,8,-3,5,4,-3,4
1525807144302572,-1,-1,-6,-8,3,-2,-3,-2
1525807144302572,1,0,1,3,0,4,3,1
1525807144302572,-1,-2,1,9,3,-13,3,-2
1525807144324630,-4,-5,-4,-14,-11,-14,-20,-5
1525807144324630,0,-5,-15,-3,1,-3,-2,-4
1525807144325587,3,6,9,6,6,3,-1,0
1525807144325587,1,0,1,-9,-8,8,9,2
1525807144347630,-5,-6,2,16,-1,-35,-11,-7
1525807144347630,-9,-15,-4,-18,-18,-12,-7,-6
1525807144347630,11,19,3,8,12,12,16,11
1525807144347630,3,5,3,3,4,10,7,1
1525807144362572,-3,-5,-3,-8,0,-2,-15,-4
1525807144362572,-7,-5,-5,-3,-2,-3,-1,-4
1525807144362572,-8,-10,-3,4,-9,7,-1,-5
1525807144362572,-1,-1,-3,-3,3,13,-14,-5
1525807144386567,2,3,2,2,-1,-11,14,4
1525807144386567,-1,-1,1,7,4,-5,2,2
1525807144386567,-2,-3,6,-5,-9,2,-5,-4
1525807144386567,0,-4,-14,2,14,0,0,2
1525807144407665,-1,-2,-1,3,1,9,3,1
1525807144407665,1,5,2,-3,-9,-7,-6,-2
